laptop_id;Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram;Memory;Gpu;OpSys;Weight_kg;Price_euros;id_shop;id_constructors
19;Lenovo;IdeaPad 320-15IKB;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 940MX;No OS;2.2;499.00;22;13
20;Dell;XPS 13;Ultrabook;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD;Intel UHD Graphics 620;Windows 10;1.22;979.00;6;5
21;Asus;Vivobook E200HA;Netbook;11.6;1366x768;Intel Atom x5-Z8350 1.44GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;0.98;191.90;16;24
22;Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.5;999.00;10;33
23;HP;255 G6;Notebook;15.6;1366x768;AMD E-Series E2-9000e 1.5GHz;4GB;500GB HDD;AMD Radeon R2;No OS;1.86;258.00;19;9
24;Dell;Inspiron 5379;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.62;819.00;7;36
25;HP;15-BS101nv (i7-8550U/8GB/256GB/FHD/W10);Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.91;659.00;32;26
26;Dell;Inspiron 3567;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.3;418.64;11;32
27;Apple;MacBook Air;Ultrabook;13.3;1440x900;Intel Core i5 1.6GHz;8GB;128GB Flash Storage;Intel HD Graphics 6000;Mac OS X;1.35;1099.00;33;26
28;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;2.2;800.00;10;2
29;Dell;Latitude 5590;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 8650U 1.9GHz;8GB;256GB SSD +  256GB SSD;Intel UHD Graphics 620;Windows 10;1.88;1298.00;25;17
30;HP;ProBook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Nvidia GeForce 930MX;Windows 10;2.5;896.00;12;30
31;Chuwi;"LapBook 15.6""";Notebook;15.6;Full HD 1920x1080;Intel Atom x5-Z8300 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics;Windows 10;1.89;244.99;24;17
32;Asus;E402WA-GA010T (E2-6110/2GB/32GB/W10);Notebook;14;1366x768;AMD E-Series E2-6110 1.5GHz;2GB;32GB Flash Storage;AMD Radeon R2;Windows 10;1.65;199.00;34;23
33;HP;17-ak001nv (A6-9220/4GB/500GB/Radeon;Notebook;17.3;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4GB;500GB HDD;AMD Radeon 530;Windows 10;2.71;439.00;14;10
34;Dell;XPS 13;Ultrabook;13.3;Touchscreen / Quad HD+ 3200x1800;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.2;1869.00;15;26
35;Apple;MacBook Air;Ultrabook;13.3;1440x900;Intel Core i5 1.6GHz;8GB;256GB Flash Storage;Intel HD Graphics 6000;Mac OS X;1.35;998.00;4;33
36;Lenovo;IdeaPad 120S-14IAP;Notebook;14;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;64GB Flash Storage;Intel HD Graphics 500;Windows 10;1.44;249.00;15;28
37;Acer;Aspire 3;Notebook;15.6;1366x768;Intel Core i3 7130U 2.7GHz;4GB;1TB HDD;Intel HD Graphics 620;Linux;2.1;367.00;6;30
38;Dell;Inspiron 5770;Notebook;17.3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8;979.00;35;32
39;HP;250 G6;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.86;488.69;7;5
40;HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce 930MX ;Windows 10;2.1;879.00;14;25
41;Asus;X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux);Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 620;Linux;2;389.00;21;25
42;Dell;Inspiron 7577;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.65;1499.00;13;28
43;Asus;X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Linux;2.3;522.99;2;16
44;Acer;Aspire A515-51G;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.2;682.00;17;14
45;Dell;Inspiron 7773;2 in 1 Convertible;17.3;Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;12GB;1TB HDD;Nvidia GeForce 150MX;Windows 10;2.77;999.00;3;26
46;Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.0GHz;8GB;256GB SSD;Intel Iris Graphics 540;macOS;1.37;1419.00;5;16
47;Lenovo;IdeaPad 320-15ISK;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;No OS;2.2;369.00;14;32
48;Asus;Rog Strix;Gaming;17.3;Full HD 1920x1080;AMD Ryzen 1700 3GHz;8GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.2;1299.00;15;35
49;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.3;639.00;38;4
50;Asus;X751NV-TY001T (N4200/4GB/1TB/GeForce;Notebook;17.3;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.8;466.00;32;18
51;Lenovo;Yoga Book;2 in 1 Convertible;10.1;IPS Panel Touchscreen 1920x1200;Intel Atom x5-Z8550 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics 400;Android;0.69;319.00;30;4
52;Acer;Aspire A515-51G;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce MX150;Windows 10;2.2;841.00;9;33
53;HP;255 G6;Notebook;15.6;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4GB;256GB SSD;AMD Radeon R4 Graphics;Windows 10;1.86;398.49;6;37
54;HP;ProBook 430;Notebook;13.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.49;1103.00;29;33
55;Acer;Aspire 3;Notebook;15.6;1366x768;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.4;384.00;26;13
56;Dell;Inspiron 3576;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 520;Windows 10;2.13;767.80;32;20
57;HP;15-bs002nv (i3-6006U/4GB/128GB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.91;439.00;5;1
58;Asus;VivoBook Max;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2;586.19;23;28
59;MSI;GS73VR 7RG;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.43;2449.00;15;8
60;Asus;X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux);Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;256GB SSD;Intel HD Graphics 520;Linux;2;415.00;13;17
61;Dell;Inspiron 5770;Notebook;17.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.8;1299.00;18;13
62;Dell;Vostro 5471;Ultrabook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.7;879.00;8;10
63;Lenovo;IdeaPad 520S-14IKB;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;No OS;1.7;599.00;23;14
64;Asus;UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10);Notebook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.4;941.00;34;9
66;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.86;690.00;24;27
67;Asus;ZenBook Pro;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050 Ti;Windows 10;1.8;1983.00;23;22
68;HP;250 G6;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;500GB HDD;AMD Radeon 520;Windows 10;1.86;438.69;26;17
69;HP;Stream 14-AX040wm;Notebook;14;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;32GB SSD;Intel HD Graphics 400;Windows 10;1.44;229.00;3;1
70;Lenovo;V310-15ISK (i5-7200U/4GB/1TB/FHD/W10);Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.9;549.00;15;21
71;Asus;FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12GB;1TB HDD;Nvidia GeForce GTX 1050 Ti;Linux;3;949.00;9;5
72;Microsoft;Surface Laptop;Ultrabook;13.5;Touchscreen 2256x1504;Intel Core i5 7200U 2.5GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10 S;1.252;1089.00;8;4
73;Dell;Inspiron 5370;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;1.4;955.00;36;32
74;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;2.2;870.00;28;26
75;MSI;GL72M 7RDX;Gaming;17.3;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.7;1095.00;16;15
76;Acer;Aspire E5-475;Notebook;14;1366x768;Intel Core i3 6006U 2GHz;8GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.1;389.00;13;14
77;Asus;FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.2;949.00;22;12
78;Lenovo;IdeaPad 320-15IKBN;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;2TB HDD;Intel HD Graphics 620;No OS;2.2;519.00;16;15
79;Dell;Inspiron 5570;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  1TB HDD;Intel UHD Graphics 620;Windows 10;2.02;855.00;30;6
80;Acer;Aspire A515-51G-32MX;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4GB;1TB HDD;Nvidia GeForce MX130;Windows 10;2.2;530.00;7;18
81;HP;ProBook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 930MX;Windows 10;2.5;977.00;16;8
82;Dell;Latitude 5590;Ultrabook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.88;1096.16;6;17
83;Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core i5 1.3GHz;8GB;512GB SSD;Intel HD Graphics 615;macOS;0.92;1510.00;9;35
84;HP;ProBook 440;Notebook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.63;860.00;25;17
85;Lenovo;IdeaPad 320-15AST;Notebook;15.6;Full HD 1920x1080;AMD A6-Series 9220 2.5GHz;4GB;128GB SSD;AMD R4 Graphics;Windows 10;2.2;399.00;21;11
86;Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4GB;1TB HDD;AMD Radeon R5;Windows 10;2.1;395.00;15;10
87;Dell;Inspiron 7577;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.65;1349.00;36;5
88;HP;Pavilion 15-CK000nv;Ultrabook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 940MX;Windows 10;1.83;699.00;9;24
89;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.96;598.99;8;27
90;Asus;FX503VM-E4007T (i7-7700HQ/16GB/1TB;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.2;1449.00;29;18
91;Dell;XPS 13;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.21;1649.00;12;18
92;Asus;FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon;Gaming;15.6;Full HD 1920x1080;AMD FX 9830P 3GHz;8GB;1TB HDD;AMD Radeon RX 560;Windows 10;2.45;699.00;31;21
93;Acer;Aspire 5;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Nvidia GeForce MX150;Windows 10;2.2;689.00;31;13
94;HP;Probook 430;Notebook;13.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.49;1197.00;5;32
95;Dell;Inspiron 7577;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1060;Windows 10;2.65;1195.00;7;33
96;Asus;Zenbook UX430UA;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.25;1049.00;6;34
97;Acer;Spin 5;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.5;847.00;18;18
98;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon R5 M430;Linux;2.2;599.90;36;25
99;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 M430;Linux;2.2;485.00;3;21
100;Asus;X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7100U 2.4GHz;6GB;256GB SSD;Nvidia GeForce 920M;Windows 10;2;577.00;38;11
102;HP;Omen 15-ce007nv;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;12GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.62;1249.00;7;21
103;HP;15-bs017nv (i7-7500U/8GB/256GB/Radeon;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;1.91;719.00;29;4
104;HP;15-bw000nv (E2-9000e/4GB/500GB/Radeon;Notebook;15.6;Full HD 1920x1080;AMD E-Series E2-9000e 1.5GHz;4GB;500GB HDD;AMD Radeon R2;Windows 10;2.1;349.00;26;18
105;Dell;Inspiron 3576;Notebook;15.6;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;AMD Radeon 520;Linux;2.2;647.00;20;8
106;HP;Envy 13-ad009n;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce MX150;Windows 10;1.38;1119.00;34;14
107;Microsoft;Surface Laptop;Ultrabook;13.5;Touchscreen 2256x1504;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10 S;1.252;1340.00;24;22
108;HP;Pavilion 14-BK001nv;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;6GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.58;659.00;19;19
109;Lenovo;Ideapad 310-15ISK;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;1.85;414.90;23;10
110;Asus;UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.3;1193.00;29;22
111;MSI;GP62M 7REX;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.2;1299.00;11;13
112;Lenovo;Thinkpad T470;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.58;1480.00;14;12
113;Asus;VivoBook S15;Ultrabook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce MX150;Windows 10;1.5;1262.00;2;26
114;Dell;XPS 13;Ultrabook;13.3;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7560U 2.4GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;Windows 10;1.23;1379.00;23;22
115;Lenovo;ThinkPad Yoga;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.37;1399.00;13;27
116;HP;Probook 440;Notebook;14;IPS Panel 1366x768;Intel Core i5 8250U 1.6GHz;4GB;500GB HDD;Intel UHD Graphics 620;Windows 10;1.63;722.00;20;27
117;Dell;XPS 13;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.21;1629.00;28;26
118;HP;Spectre x360;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.26;1398.99;17;4
119;HP;Probook 440;Notebook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.63;1084.00;7;11
120;Dell;Inspiron 7570;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.16;1130.33;11;11
121;Asus;X705UV-BX074T (i3-6006U/4GB/1TB/GeForce;Notebook;17.3;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2;564.00;37;23
122;Asus;VivoBook S15;Notebook;15.6;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.7;1118.00;10;25
123;Acer;Spin 3;Notebook;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i3 7100U 2.4GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.1;479.00;36;14
124;MSI;GS63VR 7RG;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1070;Windows 10;1.8;2241.50;30;34
125;Lenovo;IdeaPad 320-15IKBN;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 940MX;No OS;2.2;629.00;31;22
126;HP;Probook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce 930MX ;Windows 10;2.5;1271.00;5;26
127;Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4GB;256GB SSD;AMD Radeon R5;Windows 10;2.1;451.00;35;15
128;HP;250 G6;Notebook;15.6;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;500GB HDD;Intel HD Graphics 400;No OS;1.86;259.00;20;28
129;HP;Probook 440;Notebook;14;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;1.63;812.00;23;2
130;Asus;E402WA-GA007T (E2-6110/4GB/64GB/W10;Notebook;14;1366x768;AMD E-Series 6110 1.5GHz;4GB;64GB SSD;AMD Radeon R2;Windows 10 S;1.65;277.99;34;15
131;Dell;Inspiron 5770;Notebook;17.3;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;256GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.8;1396.00;7;24
132;HP;ProBook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.5;928.00;6;14
133;Dell;Inspiron 5567;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36;638.99;28;27
134;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;1TB HDD;AMD Radeon R5 M430;Windows 10;2.2;449.00;30;8
135;Acer;Swift 3;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6;884.00;10;6
136;Acer;Aspire A515-51G-37JS;Notebook;15.6;Full HD 1920x1080;Intel Core i3 7130U 2.7GHz;4GB;256GB SSD;Nvidia GeForce MX130;Windows 10;2.2;572.00;26;12
137;HP;15-BS078nr (i7-7500U/8GB/1TB/W10);Notebook;15.6;1366x768;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.05;598.00;32;21
138;HP;Probook 440;Notebook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.63;988.00;7;17
